"SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
132.73,133.02,132.21,132.68,113090400,125.48
134,134.62,133.77,134.54,160598500,127.24
133.98,134.51,133.83,134.45,107694500,127.16
134.17,135.02,133.64,134.79,135528100,127.48
134.86,135.22,134.31,135.19,139361400,127.86
135.41,135.59,134.56,135.36,148602900,128.02
134.16,134.47,133.84,134.36,167907500,127.07
135.32,135.52,134.74,135.36,115841900,128.02
135,135.27,134.25,135.19,165329500,127.86
135.63,135.83,134.29,134.56,195195100,127.26
134.57,136.17,134.33,136.05,186567800,128.67
136.52,136.63,135.96,136.41,129869400,129.01
136.73,137.05,136.05,136.47,134042300,129.07
136.26,136.55,135.79,136.03,124455300,128.65
135.96,136.73,135.5,136.63,137704300,129.22
136.93,137.2,136.63,136.93,105539100,129.5
136.02,137.53,135.8,137.16,145728900,129.72
137.2,137.72,136.93,137.56,129355900,130.1
137.76,138.19,136.54,137.02,185934700,129.59
137.31,137.99,136.93,137.73,145023500,130.26
137.64,137.82,137,137.31,120638300,129.86
137.1,137.2,136.28,136.75,140765000,129.33
135.35,135.43,134.36,134.75,202129900,127.44
135.06,135.91,134.93,135.69,143692200,128.33
136.52,137.32,136.24,137.04,116968900,129.61
137.3,137.93,137.13,137.57,122836800,130.11
137.55,137.76,137.09,137.58,104003500,130.12
138.32,140.13,138.09,140.06,184090500,132.46
140.1,140.45,139.48,139.91,145163600,132.32
140.12,140.78,139.76,140.72,165118500,133.09
140.36,140.48,140,140.3,152893500,133.27
140.21,141.28,140.11,140.85,125291100,133.79
140.05,140.61,139.64,140.44,121729700,133.4
140.52,140.65,139.92,140.21,122388400,133.19
139.18,139.55,138.74,139.2,135216700,132.23
139.32,139.81,138.55,139.65,120521000,132.65
140.65,141.61,140.6,141.61,120164000,134.52
141.74,141.83,141.08,141.17,119868500,134.1
141.1,141.32,139.64,140.47,148562100,133.43
139.64,140.49,139.09,140.23,164963700,133.2
140.92,141.05,140.05,140.81,135486800,133.76
140.64,142.21,140.36,141.84,151741100,134.73
141.64,141.88,140.43,141.26,155806700,134.18
140.22,140.34,139.34,139.86,146896000,132.85
139.38,140.2,139.26,139.79,137439400,132.79
138.03,139.84,137.84,138.22,127555900,131.3
137.95,138.34,135.76,135.9,235360300,129.09
137.29,137.54,136.75,137,154133000,130.14
137.13,138.9,137.03,138.79,154321500,131.84
138.47,138.82,137.01,137.14,169246700,130.27
137.84,138.04,136.58,137.05,147825300,130.18
137.84,139.36,137.7,139.08,147877600,132.11
138.46,139.08,138.38,138.61,123884200,131.67
138.63,139.15,137.07,137.72,198666700,130.82
138.33,138.83,137.87,137.95,143199600,131.04
136.54,136.91,135.94,136.79,171844900,129.94
136.91,137.66,136.8,137.31,137484200,130.43
138.65,139.25,138.53,139.19,150252200,132.22
138.89,140.32,138.81,140.16,136291600,133.14
140.58,140.79,139.8,140.39,130725000,133.36
140.11,140.21,139.49,139.87,115092200,132.86
139.79,141.66,139.63,140.74,138832200,133.69
139.92,140.46,139.46,140.32,121081000,133.29
140.34,140.45,138.99,139.25,143759700,132.27
138.52,139.3,136.92,137,193927300,130.14
136.51,137.56,136.46,137.1,127765900,130.23
136.28,136.77,134.92,136.55,213377700,129.71
135.1,136.61,134.49,135.74,220752500,128.94
136.68,136.85,135.71,136.02,150600000,129.21
135.17,136.87,135.11,135.61,153032400,128.82
134.31,135.61,133.91,134.11,163910000,127.39
134.02,134.81,133.13,133.34,207629300,126.66
133.94,134.55,132.8,132.83,207265500,126.18
132.86,133.02,130.79,130.86,247992900,124.3
131.37,131.6,129.55,129.74,319615900,123.24
130.16,132.02,129.95,131.97,177861100,125.36
132.31,133.23,131.34,132.2,197531200,125.58
131.25,132.46,129.99,132.27,204958400,125.64
132.63,132.84,131.42,132.53,167357600,125.89
132.48,132.85,131.78,132.1,135465600,125.48
133.16,133.93,131.17,133.7,152883500,127
132.56,133.69,131.49,131.76,162370400,125.16
131.71,132.45,130.34,131.47,196186000,124.88
129.41,131.5,128.16,128.16,253240900,121.74
128.39,128.74,127.14,128.1,202545800,121.68
127.85,129.26,127.78,129.07,164149400,122.6
129.97,132.03,129.93,131.97,184202800,125.36
133.47,133.53,131.78,132.05,184772700,125.43
131.71,133.13,131.29,133.1,143915400,126.43
134.17,134.25,131.28,131.41,169756100,124.83
131.79,133.01,131.16,132.92,181931800,126.26
132.53,133.36,131.62,132.07,172223900,125.45
132.34,134,131.98,133.47,230615500,126.78
133.38,134.26,133.1,134.14,169444500,128.08
133.58,134.73,133.28,134.4,131360900,128.33
135.08,136.25,134.37,135.7,137382600,129.57
135.71,136.1,134.27,135.48,206451800,129.36
135.64,135.78,132.33,132.44,205272200,126.46
133.13,133.71,132.62,133.46,130029200,127.43
132.05,132.1,130.85,131.32,146375700,125.39
131.7,132.38,130.93,131.98,141634000,126.02
132.42,133.43,131.97,133.17,108088000,127.15
132.29,132.99,131.28,132.79,169242100,126.79
135.2,136.27,134.85,136.1,212250900,129.95
136.48,136.65,135.52,136.51,129524500,130.34
136.48,137.51,136.34,137.41,80450000,131.2
136.9,137.8,136.29,136.79,126177500,130.61
135.47,135.77,134.85,135.49,151192100,129.37
135.38,135.57,134.7,135.32,103780500,129.21
136.01,136.23,133.68,134.14,167884800,128.08
134.21,134.6,133.38,134.16,141733400,128.1
133.38,134.23,132.6,133.51,143583200,127.48
133.86,135.89,133.84,135.75,129642600,129.62
135.44,135.83,134.9,135.43,97525200,129.31
135.97,136.64,134.55,136.36,138860300,130.2
136.04,137.64,135.96,137.37,113349700,131.16
137.65,138.18,137.21,137.73,129847300,131.51
136.95,137.16,136.32,136.47,142904500,130.3
134.47,136.38,133.84,135.09,145210900,128.99
135.19,135.25,133.03,133.93,173301200,127.88
134.21,134.56,133.25,133.96,129122300,127.91
135.89,136.46,135.26,136.17,156526500,130.02
136.89,139.07,136.14,138.68,236768900,132.41
138.52,139.34,138.27,138.68,106782000,132.41
138.49,138.87,137.71,137.71,120575900,131.49
138.7,138.73,137.4,137.59,138293800,131.37
136.55,137.57,135.58,136.64,199556600,130.47
138.56,139.64,136.68,139.35,157825000,133.05
139.72,140.17,139.56,139.62,86326200,133.31
140.18,140.92,140.03,140.32,109545100,133.98
139.85,140.65,139.81,140.49,89754700,134.14
140.29,140.89,140.15,140.61,90291700,134.26
140.04,140.89,139.81,140.84,99792700,134.48
140.6,140.84,140.04,140.77,79426900,134.41
141.29,141.38,140.37,140.79,102379400,134.43
140.64,141.19,140.55,140.95,71085900,134.58
141.15,142.16,140.8,141.99,112014200,135.58
142.23,142.3,141.86,142.18,90813700,135.76
141.98,142.22,141.59,142.19,78255700,135.77
142.54,143.09,141.45,141.76,105581100,135.36
141.4,142.05,141.07,141.82,133243500,135.41
141.47,141.48,140.44,140.66,111466400,134.31
140.31,141.83,140.22,141.51,99481200,135.12
141.89,142.08,141.34,141.54,68785900,135.15
141.18,141.84,140.97,141.4,75689600,135.01
141.52,141.89,141.12,141.51,65421300,135.12
140.9,140.94,140.19,140.49,96589900,134.14
141.29,141.82,140.36,141.16,151970400,134.78
141.04,141.46,140.13,141.03,120226200,134.66
141.09,141.47,140.63,140.91,100660300,134.54
141.76,143.78,141.75,143.77,158272500,137.27
144.01,144.39,143.88,144.33,107272100,137.81
144.19,144.44,143.46,143.51,86458500,137.03
143.6,144.37,143.56,143.91,88760000,137.41
144.39,144.55,143.9,144.39,87640900,137.87
144.37,147.04,143.99,146.59,225470200,139.97
146.88,148.11,146.76,147.24,169777000,140.59
146.94,147.19,146.37,146.74,119427800,140.11
146.49,146.81,146.25,146.62,98326600,140
146.79,147.17,146.41,146.7,128318300,140.07
146.03,146.79,145.63,146.71,154009800,140.08
146.64,146.67,145.81,145.87,108737500,140.02
145.15,145.98,145.04,145.65,95682000,139.81
145.96,146.24,144.06,144.1,133165200,138.32
144.07,144.11,142.95,143.29,146502200,137.55
143.89,144.97,143.51,144.64,111830300,138.84
144.09,144.56,143.46,143.97,150696100,138.2
144.52,145.69,144.01,144.35,135911200,138.56
144.92,145.15,143.83,144.5,113422200,138.71
144.89,145.43,144.13,145.09,121283100,139.27
145.64,146.34,145.44,146.13,124311600,140.27
146.91,147.16,145.7,146.14,124842100,140.28
145.6,146.12,145.31,145.64,78415400,139.8
145.53,145.65,144.15,144.2,148872900,138.42
144.18,144.32,143.09,143.28,124247500,137.54
144.28,144.49,143.33,143.36,123601500,137.61
