Company,Symbol:Sector,NYSE,NASDAQ,,Ticker symbol,Company
CSX,Industrials,CSX.N,,,CSX,CSX Corp.
Cummins,Industrials,CMI.N,,,CMI,Cummins Inc.
CVS Caremark,Consumer Staples,CVS.N,,,CVS,CVS Caremark Corp.
D.R. Horton,Consumer Discretionary,DHI.N,,,DHI,D. R. Horton
Danaher,Industrials,DHR.N,,,DHR,Danaher Corp.
Darden Restaurants,Consumer Discretionary,DRI.N,,,DRI,Darden Restaurants
DaVita Inc.,,DVA.N,,,DVA,DaVita Inc.
Deere & Company,Industrials,DE.N,,,DE,Deere & Co.
Delphi Automotive,,DLPH.N,,,DLPH,Delphi Automotive
Delta Air Lines,,DAL.N,,,DAL,Delta Air Lines
Dentsply International,,DNR.N,,,DNR,Denbury Resources Inc.
Dillard,,XRAY.O,,,XRAY,Dentsply International
Devon Energy Corp.,,DVN.N,,,DVN,Devon Energy Corp.
Diamond Offshore Drilling,,DO.N,,,DO,Diamond Offshore Drilling
DIRECTV Group,Consumer Discretionary,,DTV.O,,DTV,DirecTV
Discover Financial Services,Financials,DFS.N,,,DFS,Discover Financial Services
Discovery Communications,,,DISCA.O,,DISCA,Discovery Communications
Dollar General,,DG.N,,,DG,Dollar General
Dollar Tree,,,DLTR.O,,DLTR,Dollar Tree
Dominion Resources,Utilities,D.N,,,D,Dominion Resources
Dover,Industrials,DOV.N,,,DOV,Dover Corp.
Dow Chemical,Materials,DOW.N,,,DOW,Dow Chemical
Dr Pepper Snapple Group,,DPS.N,,,DPS,Dr Pepper Snapple Group
DTE Energy,Utilities,DTE.N,,,DTE,DTE Energy Co.
Duke Energy,Utilities,DUK.N,,,DD,Du Pont (E.I.)
DuPont,Materials,DD.N,,,DUK,Duke Energy
Dun & Bradstreet,,DNB.N,,,DNB,Dun & Bradstreet
E TRADE Financial,Financials,,ETFC.O,,ETFC,E-Trade
Eastman Chemical,Materials,EMN.N,,,EMN,Eastman Chemical
Eaton,Industrials,ETN.N,,,ETN,Eaton Corp.
eBay,Information Technology,,EBAY.O,,EBAY,eBay Inc.
Ecolab,Materials,ECL.N,,,ECL,Ecolab Inc.
